version,ultima_actualizacion,codigo,familia,validacion,mensaje
0.3.0,02/12/2024,FEL_RCP384,FEL_RCP,"El contenido de la casilla es diferente de B y el Tipo de Documento que se está emitiendo es alguno de estos: FACA, FCCA, FAAE o FCAE.",El contribuyente agropecuario únicamente puede facturar bienes.
0.3.0,02/12/2024,FEL_RCP385,FEL_RCP,El tipo de DTE es RDON y no se incluye la casilla personería.,El tipo de DTE RDON debe de incluir la casilla personería.
0.3.0,02/12/2024,FEL_RCP386,FEL_RCP,El tipo de DTE es diferente de RDON e incluye la casilla personeria.,El tipo de DTE no debe incluir la casilla personería.
0.3.0,02/12/2024,FEL_RCP387,FEL_RCP,El tipo de DTE es RDON y La casilla contiene un tipo de personería diferente al de la lista Tipos de DTE por tipo de personería,El Tipo de DTE no aplica para este tipo de personería”.
0.3.0,02/12/2024,FEL_RCP419,FEL_RCP,El valor de la casilla es diferente del resultado de multiplicar el valor de la casilla “BaseImponible” por  el 12%.,MontoCobroIVA calculado incorrectamente según la BaseImponible.
0.3.0,02/12/2024,FEL_RCP420,FEL_RCP,"Se incluye la casilla “Emisión en ubicación temporal” y el contenido de la casilla “Tipo de DTE” es distinto de los tipos permitidos:  FACT, FCAM, FPEQ, FCAP, RANT, NCRE, Y NDEB.",Error. La casilla  de ubicación temporal no debe estar presente para este tipo de documento.
0.3.0,02/12/2024,FEL_RCP422,FEL_RCP,"El tipo de DTE es RECI y la casilla tiene un tipo de personeria diferente al de la lista Tipos de DTE por personeria, y no está dentro de los códigos de establecimientos que permite RECI 2.2.3.1 Clasificación y tipos de establecimiento de personas individuales, que pueden emitir Constancias y recibos.","El Tipo de DTE RECI no aplica para este tipo de personería o código - tipo de establecimiento"""
0.3.0,02/12/2024,FEL_RCP423,FEL_RCP,"El Tipo de DTE es RDON o RECI y la casilla AfiliacionIVA se encuentra vacía y en la casilla Tipo Personería se consigna un valor diferente de 710, 715, 716,718, 719, 720, 721, 723, 724, 725. 726, 727, 728, 729, 730, 731, 732, 733, 734, 735, 736, 737, 738, 739, 740, 2635, 2719, 2744. 
*Está deberá validar la personería con la que cuenta en el MiniRTU. ",Debe de incluir afiliación al IVA para poder emitir el Tipo de DTE RDON o RECI
0.3.0,02/12/2024,FEL_RCP424,FEL_RCP,El valor ingresado debe ser igual al Gran Total este cuando el tipo de aportación sea igual a No Dineraria.,El valor estimado ingresado no puede ser diferente al Gran Total del DTE
0.3.0,02/12/2024,FEL_RCP425,FEL_RCP,"Se incluye el Tipo de Frase 4 Codigo Escenario 24 y el Tipo de DTE es difrente de FACT, FCAM, NCRE, NDEB y RECI. Si el tipo de DTE es RECI y la personeria que consigna es diferente de 1050 PROPIEDAD HORIZONTAL."," El Código de Escenario 24 del Tipo de Frase 4, para los Tipos de DTE XXX no corresponde."
0.3.0,02/12/2024,FEL_RCP426,FEL_RCP,El tipo de documento ingresado no corresponde a uno permitido.,Error. El Id del Transportista ingresado no corresponde a los permitidos en el catálogo.
0.3.0,02/12/2024,FEL_RCP427,FEL_RCP,"El tipo de documento es igual a NIT y el valor ingresado no corresponde a un NIT valido con estado activo y existente en RTU. 
El tipo de documento es igual a CUI y el valor ingresado no corresponde a un CUI valido según el servicio ValidaRenap.",Error. El Id del Transportista ingresado no existe o no está activo en los registros de la SAT.
0.3.0,02/12/2024,FEL_RCP428,FEL_RCP,El tipo de documento es igual a CUI y el valor ingresado corresponde a un CUI con estado de fallecido.,Error. El Id del Transportista tipo CUI corresponde a una persona fallecida.
0.3.0,02/12/2024,FEL_RCP429,FEL_RCP,El tipo de documento es igual a Extranjero y el valor ingresado no cumple con el formato siguiente: - Tener una longitud entre 3 y 18 caracteres - Puede contener letras de la A a la Z (mayúsculas) y dígitos (0-9) - No debe contener espacios,Error. El Id del Transportista tipo Extranjero no cumple con el formato establecido.
0.3.0,02/12/2024,FEL_RCP430,FEL_RCP,El valor ingresado en la Placa no existe en la base de datos de vehículos en la SAT.,Error. La Placa ingresada no existe en la base de datos de la SAT.
0.3.0,02/12/2024,FEL_RCP431,FEL_RCP,El valor ingresado en la Placa existe en la base de datos de vehículos en la SAT sin embargo se encuentra con estatus Inactivo.,Error. La Placa ingresada se encuentra con estado Inactivo.
0.3.0,02/12/2024,FEL_RCP432,FEL_RCP,"El Tipo de DTE es RANT incluye el tipo de frase 9 y los códigos de escenario son diferentes de 9, 10 y 14.",Error. El código de escenario no corresponde para el tipo de DTE.
0.3.0,02/12/2024,FEL_RCP433,FEL_RCP,"El Tipo de DTE es RANT y la casilla tipo personería contiene uno de los valores siguientes: 715, 716,718, 719, 720, 721, 723, 724, 725. 726, 727, 728, 729, 730, 731, 732, 733, 734, 735, 736, 737, 738, 739, 740, 2635, 2719, 2744.",Error. El contribuyente con el Tipo de personería XXX no puede emitir el tipo de DTE RANT.
0.3.0,02/12/2024,FEL_RCP434,FEL_RCP,Se incluye la casilla “TipoDTEReferenciado” y el contenido de la casilla es diferente de FYDUCA.,Error. El tipo de DTE referenciado no existe.
0.3.0,02/12/2024,FEL_RCP435,FEL_RCP,El contenido de la casilla es diferente de “S” y el Tipo de Documento que se está emitiendo es RANT.,Error. El tipo de DTE únicamente puede facturar servicios.
0.3.0,02/12/2024,FEL_RCP436,FEL_RCP,El contenido de la casilla es CF y los tipos de DTE son NEV y RANT.,Error. El Id Receptor no puede ser CF para los tipos de DTE NEV o RANT.
0.3.0,02/12/2024,FEL_RCP437,FEL_RCP,Se incluye el complemento pero no se incluye la casilla TipoFormaPago o Numero Transacción,Error. La casilla es de carácter obligatorio.
0.3.0,02/12/2024,FEL_RCP438,FEL_RCP,Se incluye la casilla sin embargo uno de los valores no se encuentra en el catalogo correspondiente.,Error. No existe el valor en el catalogo correspondiente.
0.3.0,02/12/2024,FEL_RCP439,FEL_RCP,La fecha transacción es menor a la fecha de emisión del DTE.,Error. La Fecha de Transacción no puede ser menor a la fecha de emisión del DTE.
0.3.0,02/12/2024,FEL_RCP440,FEL_RCP,La casilla es diferente a la sumatoria de todas las casillas Monto del complemento Medios de Pago y esta es diferente del Gran Total del DTE.,Error. La sumatoria de la casilla Monto del complemento Medios de Pago no puede ser diferente al Gran Total del DTE.
